Date,Customer,Category,Billable,Included,Non-Billable,Details,Start,Stop,Time,Hours
1/1/18,Customer 1,Document,X,,,Document site architecture,8:40,9:25,0:45,0.8
1/2/18,Customer 1,Develop,X,,,Landing page changes,7:30,7:43,0:13,0.2
1/2/18,Customer 1,Document,X,,,Document site architecture,7:43,8:30,0:47,0.8
1/3/18,Customer 1,Develop,X,,,Landing page changes,8:30,9:50,1:20,1.3
1/4/18,Customer 1,Develop,X,,,Draft documentation,11:50,14:15,2:25,2.4
1/5/18,Customer 1,Proj Mgmt,,,X,Prepare for meeting,,,0:30,0.5
1/8/18,Customer 1,Document,X,,,Infrastructure doc and deliver,,,2:00,2.0
1/9/18,Customer 2,Develop,X,,,portfolio,1:15,3:30,2:15,2.3
1/9/18,Customer 2,Develop,X,,,portfolio,6:20,6:50,0:30,0.5
1/10/18,Customer 1,Develop,X,,,Reset Staging to latest Prod updates,11:30,12:00,0:30,0.5
1/11/18,Customer 1,Develop,X,,,"Look into ""for sale""",5:15,5:45,0:30,0.5
1/11/18,Customer 1,Develop,X,,,Introductory Offer!,6:00,6:30,0:30,0.5
1/11/18,Customer 3,Proj Mgmt,,,X,Email re: hosting,7:55,8:35,0:40,0.7
1/11/18,Customer 3,Develop,X,,,Toggle display qty on Shop page,8:00,8:30,0:30,0.5
1/11/18,Customer 3,Proj Mgmt,,,X,Marketing strategy meeting,,,2:00,2.0
1/12/18,Customer 1,Proj Mgmt,,,X,Brand planning,11:45,12:00,0:15,0.3
1/15/18,Customer 4,Develop,X,,,Stylize,2:45,4:20,1:35,1.6
1/17/18,Customer 4,Develop,X,,,Happenings,13:00,13:20,0:20,0.3
1/17/18,Customer 4,Develop,X,,,Launch (w/o blog updates),13:30,16:00,2:30,2.5
1/17/18,Customer 4,Develop,X,,,Happenings,14:00,15:30,1:30,1.5
1/17/18,Customer 4,Develop,X,,,Happenings,19:30,20:15,0:45,0.8
1/17/18,Customer 4,Content,X,,,Pull together new blog entries,19:55,20:55,1:00,1.0
1/17/18,Customer 4,Content,X,,,Build stage with production,21:00,22:15,1:15,1.3
1/18/18,Customer 1,Develop,X,,,Add branding info to online doc site,2:10,3:40,1:30,1.5
1/18/18,Customer 1,Design,X,,,Find appropriate theme,8:40,10:00,1:20,1.3
1/18/18,Customer 1,Develop,X,,,Redirects,17:35,17:50,0:15,0.2
